name,area,salary_from,salary_to,employer_name,published_at,schedule,responsibility,requirement
Программист 1C,Тюмень,70000,,Позитив Телеком,2020-09-25T13:30:01+0300,Удаленная работа,"Разработка и оптимизация программных продуктов на базе платформы 1С:Предприятие. Разработка сложных отчетов. Доработка конфигурации, дополнительных внешних обработок и...","Высшее образование. Опыт программирования на 1С 8 от 1 года. Знание объекта &quot;Бизнес процессы&quot;, знание СКД, Знание SQL. "
Руководитель отдела головной станции и информационных технологий,Тюмень,,70000,Позитив Телеком,2020-09-25T13:30:03+0300,Полный день,"Руководство работой по установке, отладке, опытной проверке и вводу в эксплуатацию комплекса технических средств Головной станции. Организация работы по устойчивому...","Высшее техническое образование. Опыт работы техническим руководителем от 1 года. Опыт работы с IТ инфраструктурой, с инфраструктурой передачи данных (Интернет..."
Заведующий складом,Тюмень,25000,,Позитив Телеком,2020-09-25T13:30:04+0300,Полный день,,
Инженер головной станции,Тюмень,48000,,Позитив Телеком,2020-09-25T13:30:04+0300,Полный день,"Обслуживанием головной станции (выполнение регламентных, плановых работ). Администрированием серверов и сетевого оборудования. Профилактикой и модернизацией оборудования сети. Диагностикой,устранением неисправностей. ","Аналитический склад ума, системное мышление, ответственность, работоспособность, инициативность, cпособность принимать оперативные решения в критических ситуациях, умение работать в команде. "
Агент по продажам услуг,Тюмень,,,Позитив Телеком,2020-10-14T10:29:02+0300,Гибкий график,"Презентация продукта компании ( Услуги интернет, кабельное телевидение, IPTV, видеонаблюдение). Курирование заявки до момента подписания договора.",Готовность работать вне офиса. Самомотивация. Пунктуальность. Способность примиряться с отказом и проявлять гибкость. Оптимизм. Надежность.
Специалист абонентского отдела,Тюмень,,50000,Позитив Телеком,2020-09-20T10:29:38+0300,Сменный график,Консультирование клиентов компании по техническим вопросам по телефону (входящие звонки). Прием и регистрация входящих обращений пользователей. Проведение первичной диагностики проблем. ,"Грамотная речь. Внимательность. Навыки работы в режиме многозадачности. Приветствуется понимание протокола TCP/IP (IP-переадресация, разрешение имен, основы маршрутизации)."
Директор магазина,Тюмень,35000,80000,"Монетка, Торговая сеть",2020-09-19T12:29:28+0300,Полный день,"организация и контроль всех бизнес-процессов в магазине: прием товара, сохранность ТМЦ, инвентаризации, документооборот, выполнение ключевых показателей и т.д. - ","образование не ниже среднего профессионального. - опыт работы в розничной торговле на руководящих позициях (директор магазина, заместитель директора). - отличное понимание процессов..."
Расклейщик объявлений,Тюмень,,,Позитив Телеком,2020-09-28T10:30:13+0300,Гибкий график,Корректная расклейка объявлений и размещение дорхендеров.,Ответственный. Активный. Доброжелательный. Внимательный.
Менеджер по продажам (В2В),Тюмень,60000,,Позитив Телеком,2020-09-25T14:30:00+0300,Полный день,"Продажа телекоммуникационных услуг юридическим лицам. Анализ конкурентной среды, подготовка конкурентных коммерческих предложений. Проведение встреч и переговоров с первыми лицами, проведение...","Приветствуется опыт работы в корпоративных продажах (опыт работы с крупным бизнесом, желательно в сфере IT). Навыки продаж, проведения презентаций, умение..."
Слесарь КИПИА,Тюмень,45000,45000,Торгово-Производственное предприятие Контур,2020-10-08T14:03:52+0300,Полный день,Выполнение слесарных работ по контрольно-измерительным приборам и автоматике. Пуско-наладка приборов учета. Расключение согласно схем проекта. Сборка шкафов автоматизации.,Чтение чертежей. Знание приборов автоматизации. Готовность к командировкам.
Инженер по транспорту (Специалист по контролю системы ГЛОНАСС),Тюмень,35000,35000,"Интегра, Группа компаний",2020-10-12T10:41:47+0300,Полный день,"Осуществляет мониторинг поступающей информации относительно передвижения транспорта, местоположения, пройденного километража, расхода топлива. Осуществляет контроль слива топлива и заправок транспортных средств...","Высшее техническое образование. Опыт работы с аналогичным функционалом, возможно в должности ит-специалиста."
Электромонтажник,Тюмень,45000,45000,Торгово-Производственное предприятие Контур,2020-10-08T14:04:25+0300,Полный день,"Монтаж силовых линий. Монтаж силовых шкафов. Монтаж слаботочных линий. Монтаж систем видеонаблюдения,ОПС. Сборка ВРУ. Расключение.",Опыт работы от 1 года. Чтение чертежей.
Монтажник технологического трубопровода,Тюмень,40000,40000,Торгово-Производственное предприятие Контур,2020-10-08T14:04:07+0300,Полный день,"Подготовка металлоконструкций (трубы) к сварке. Работа с газорезкой, болгаркой. Работа с чертежами.","Опыт работы в монтаже трубопровода (газопровод, отопление). Наличие удостоверения монтажника ТТ, монтажника МК."
"Специалист по охране труда, промышленной безопасности и охране окружающей среды",Тюмень,,,"Интегра, Группа компаний",2020-10-12T10:41:47+0300,Полный день,Контроль за соблюдением законодательных и иных нормативных правовых актов по охране труда работниками предприятия. Совершенствование профилактической работы по предупреждению производственного...,Высшее техническое образование. Знание законодательных и нормативных и правовых актов. Опыт работы в руководящей должности в области охраны труда не...
Главный специалист (разработчик-гидродинамик),Тюмень,,,Тюменский нефтяной научный центр,2020-10-13T16:36:49+0300,Полный день,Работа в мультидисциплинарной команде в качестве гидродинамика. Полный цикл создания гидродинамической модели. Экспертиза гидродинамических моделей. Подготовка отчетов и презентаций по...,"Высшее образование (разработка нефтегазовых м/р, физика, математика). Не менее 2 лет в области гидродинамического моделирования и разработки м/р. "
Ведущий инженер-проектировщик автомобильных дорог,Тюмень,60000,,Геокад,2020-10-06T09:25:08+0300,Полный день,"Разработка проектной и рабочей документации на новое строительство, капитальный и текущий ремонт дорог. - Разработка разделов: Проект организации дорожного движения ПОДД...","Наличие высшего образования по специальности &quot;Инженер-проектировщик Автомобильных дорог&quot;. Знания и опыт проектирования. Опытный пользователь ПК, умение работы с таким..."
Кадастровый инженер,Тюмень,35000,,РАСТАМ,2020-09-21T09:41:34+0300,Полный день,Обязанности: Подготовка межевых планов по земельным (лесным участкам). Формирование электронного вида границ.,"Требования: Наличие аттестата кадастрового инженера. Образование по специальности: землеустройство, земельный кадастр, городской кадастр. Знание Mapinfo."
Ведущий специалист комплектации поставок,Тюмень,,,НИПИГАЗ,2020-09-28T16:24:44+0300,Полный день,"Разработка пакетов RFQ/RFP на оборудование, материалы и металлоконструкции. Организация процессов согласования пакетов RFQ, RFP. Организация процессов рассмотрения ТКП/РКД. ","Высшее техническое образование. Английский язык не ниже intermediate. Знание процесса закупочных процедур. Знание основных номенклатур оборудования (технологическое, электрическое, КИП и..."
"Продавец-кассир (ТРЦ Солнечный, ТРЦ Кристалл)",Тюмень,,,Pelican,2020-10-01T15:58:44+0300,Сменный график,"Качественно консультировать покупателей, выполнять планы продаж и другие показатели. Обеспечивать высокий уровень обслуживания. Поддерживать мерчендайзинг, чистоту и порядок в торговом...",Ставишь цели и достигаешь их. Любишь общение и людей. Имеешь позитивный настрой.
Землеустроитель,Тюмень,40000,,РАСТАМ,2020-09-21T09:41:16+0300,Полный день,"Выполнение комплекса работ по оформлению землеустроительной, лесоустроительной документации в целях оформления прав аренды. - Формирование электронного вида границ. - Подготовка схем расположения...","Подготовка ПМТ, ПДЛУ, АНТО, ПОЛ, ПРЗ. Требования: Опыт работы в области землеустройства на территории ЯНАО и ХМАО. Образование по специальностям..."
Бухгалтер по расчету заработной платы,Тюмень,25000,30000,"ЮТэйр, Авиакомпания",2020-10-12T07:37:18+0300,Полный день,"Осуществлять формирование, ведение и хранение базы данных по заработной плате сотрудников Авиакомпании и Организаций. - Осуществлять подготовку заявок на перечисление заработной...","Высшее законченное экономическое образование. Знание бухгалтерского и налогового учета. Опыт работы в программе 1С:ЗУП. Аналитический склад ума, высокий..."
Водитель-экспедитор,Тюмень,23000,23000,ЕвроАзия,2020-10-05T09:50:50+0300,Полный день,Доставка груза между подразделениями компании. Получение груза в транспортной компании. Работа курьера.,Личный автомобиль.
Руководитель департамента продаж,Тюмень,,,Метрика Недвижимость,2020-09-23T10:35:43+0300,Гибкий график,Разработка стратегии и плана развития департамента продаж. Управление продажами (выполнение планов). Организация работы подчиненных. Обучение и подбор персонала. ,Опыт работы в сфере недвижимости (желательно). Знание механизмов работы отдела продаж. Успешный опыт личных продаж. Управленческий опыт и опыт наставничества. 
Руководитель HR-департамента,Тюмень,80000,150000,Метрика Недвижимость,2020-09-23T10:35:49+0300,Полный день,"Организация работы HR-департамента. Подбор специалистов на ТОП-позиции (директор филиала, HRD, руководитель направления и т.д.). Развитие HR-бренда...","Высшее образование: Психологии и педагогики, Управление персоналом, либо дополнительное образование «Управление персоналом». Опыт работы в аналогичной должности от 3 лет. "
HR-специалист,Тюмень,40000,90000,Метрика Недвижимость,2020-09-15T14:21:25+0300,Полный день,"Привлечение и отбор персонала (уровень специалисты, средний и высший менеджмент). Введение в должность, адаптация, оценка готовности персонала. Оценка (аттестация), разработка...",Знание теории и практики подбора персонала. Знание теории и практики мотивации и адаптации персонала. Знание теории и опыт обучения и...
Директолог,Тюмень,120000,,Метрика Недвижимость,2020-10-02T08:29:02+0300,Полный день,"Создание посадочных страниц, лендингов. Создание и запуск рекламных кампаний в системах Яндекс.Директ и Google Ads. Увеличение количества звонков/заявок.",
Помощник руководителя (с функциями PR-менеджера),Тюмень,50000,,Метрика Недвижимость,2020-09-23T10:35:54+0300,Полный день,"Продвижение личного бренда руководителя. Ведение персональных социальных сетей: написание контент-плана, создание текстов, создание необходимых фото/видео-материалов. ",Обязательное знание английского языка (уровень intermediate и выше). Оконченное высшее образование. Высокий уровень аналитического мышления. Высокий уровень интеллекта. Коммуникабельность. 
Руководитель группы конструкторского отдела по внутрискважинному оборудованию,Тюмень,,,Сибнефтемаш,2020-10-05T11:27:35+0300,Полный день,"Руководство и планирование работы группы. Модернизация и актуализация существующего КД, а также проработка новых видов продукции. Анализ технического задания на...","Образование (если необходимо укажите конкретное название ВУЗа, специализацию): Высшее техническое. Дополнительное образование: Профессиональные навыки и знания: Умение работать в CAD..."
Менеджер отдела продаж юридическим лицам,Тюмень,40000,,Взлет-Тюмень,2020-09-15T07:54:58+0300,Полный день,"Звонить в компании. Выявлять целевую аудиторию и тех, кто принимает решения в компании клиента. Заинтересовать клиента и назначить ему встречу...",Вежливы и общительны. Хотите стабильную заработную плату. Вам интересно работать в крупной надежной компании. Имеете опыт работы в контактном-центре...
Менеджер по работе с клиентами (офис/удаленно),Тюмень,40000,65000,Агентство Правовой Защиты Новая Жизнь,2020-09-16T14:17:53+0300,Полный день,Работать в Битрикс 24. Ведению переговоров и деловому общению. Консультирование клиентов по продуктам. Предоставим возможность повысить личный KPI и приносить...,Опыт работы в продажах! Нацеленность на результат. Желание зарабатывать. Выполнять планы продаж. Работа с возражениями.
Монтажник,Тюмень,35000,70000,Системы Комплексной Безопасности,2020-09-26T11:30:06+0300,Полный день,Выезд к абонентам ПАО &quot;Ростелеком&quot; в оговоренное время. Выполнение работ согласно технологической инструкции. Регулярные визиты в офис для отчета по...,"Ответственность, честность. Опыт работы в сфере IT обязателен. Требуется навык работы с компьютерной техникой, настройки беспроводного и проводного коммуникационного оборудования. "
Менеджер по продаже недвижимости,Тюмень,100000,,Метрика Недвижимость,2020-10-05T06:50:17+0300,Полный день,"Осуществление работы по покупке и продаже недвижимости (новостройки, вторичный рынок, загородная недвижимость, аренда). Изучение спроса и предложения на рынке недвижимости. ","Опыт работы в сфере продаж приветствуется, но не обязателен. Развитые коммуникативные навыки. Желание активно работать и зарабатывать. Ставить перед собой..."
Уборщик служебных помещений,Тюмень,18000,,ЕвроАзия,2020-10-05T09:50:50+0300,Полный день,"Уборка производственных помещений сервисной станции с помощью поломоечной машины и в ручную. Мойка окон, межпроизводственных перегородок согласно графика уборки раз...","Ответственность, дисциплинированность."
Ведущий специалист службы охраны труда,Тюмень,,,Энерготехсервис,2020-09-25T16:13:16+0300,Полный день,"Координация работ по охране труда в структурных подразделениях Общества. Обеспечение проведение вводных инструктажей по охране труда, гражданской обороне и чрезвычайным...","Высшее профессиональное образование по направлению подготовки «Техносферная безопасность» или соответствующим ему направлениям подготовки (специальностям) по обеспечению безопасности производственной деятельности, либо..."
Мастер-приемщик,Тюмень,35000,,ИТЕКО,2020-09-25T15:30:15+0300,Полный день,"Прием транспорта в ремонт. Консультирование клиентов по вопросам ремонта, о стоимости и сроках ремонта транспорта. Формирование заказ - нарядов. ",Образование среднее специальное/ высшее. Знание устройства и технического обслуживания грузового транспорта. Практические знания основ проведения ремонта и обслуживания ТС. 
Эксперт по запасным частям,Тюмень,32000,,ИТЕКО,2020-09-25T15:30:15+0300,Полный день,Общение с клиентами. Прием заказов на ТО от клиентов. Оформление документов. Планирование закупок запасных частей.,Ответственность. Исполнительность.
Полицейский (Москва),Тюмень,40000,,2 Оперативный полк полиции ГУ МВД России по г.Москве ( 4 батальон),2020-10-13T19:28:36+0300,Полный день,"Охрана общественного порядка и общественной безопасности при проведении культурно-массовых мероприятий на территории г. Москвы (концерты, спортивные, культурные и спец. ",Годные по состоянию здоровья к службе в Органах внутренних дел РФ. Имеющие полное среднее образование (11 классов). Прием по 1...
Гладильщик (оператор обработки),Тюмень,28000,28000,Коттон Вэй,2020-10-13T06:53:53+0300,Сменный график,Работа на гладильной машине. Глажка медицинского имущества.,Желателен опыт работы на производстве. обучаем.
Бригада отделочников,Тюмень,,60000,"Р-Индустрия, Корпорация",2020-09-21T11:47:25+0300,Вахтовый метод,Устройство высококачественной штукатурки. Устройство накрывочного слоя (шпаклевка). Монтаж ГЛК с устройством каркаса. Обойные работы. Малярные работы. Устройство покрытий (керамо-гранит...,"Опыт работы на аналогичной должности в строительных/производственных организациях от 5 лет. Высокая работоспособность, исполнительность."
Комплектовщик,Тюмень,40000,,"Монетка, Торговая сеть",2020-09-26T17:30:06+0300,Полный день,Работа на складе.,Ответственность. Внимательность.
Продавец-консультант в мебельный салон,Тюмень,35000,50000,Торговый дом Лазурит,2020-10-06T14:31:31+0300,Полный день,Консультирование входящих покупателей. Сопровождение сделок с покупателями. Соблюдение стандартов компании. Выполнение личных планов продаж.,Желание обучаться и расти профессионально. Минимальный опыт в розничных продажах. Грамотная устная речь и желание вести диалог с покупателем.
"Заместитель директора магазина (Тюменская обл, г Тюмень, ул Сакко, д 24)",Тюмень,27000,35000,Пятёрочка,2020-09-30T17:34:04+0300,Полный день,"Организация работы магазина. Контроль работы сотрудников. Выполнение плана по товарообороту, минимизация потерь. Взаимодействие с проверяющими органами. Отчетность и анализ показателей...","Образование не ниже среднего профессионального. Управленческий опыт работы от 0,5 года (желательно). Опыт работы в розничной торговле от 0..."
Продавец в салон связи (Тюмень),Тюмень,40000,63000,Розничная сеть МТС,2020-10-13T07:28:39+0300,Полный день,"Консультация клиентов, подключение услуг оператора. Продажа мобильных телефонов, смартфонов, планшетов и аксессуаров. Работа с кассой, ведение внутренней отчетности офиса и...","Образование не ниже среднего. Желание развиваться в сфере продаж. Опыт работы в продажах не обязателен, предусмотрено обучение. Готовность к полной..."
Главный специалист ЭТЛ,Тюмень,,,Екатеринбургская энергостроительная компания,2020-09-27T10:30:23+0300,Вахтовый метод,руководство бригадой при выполнении ПНР КИПиА. - анализ рабочей документации. - проведение предмонтажной проверки приборов. - проверка проведения монтажных работ. - проверка и испытания...,"высшее профессиональное образование. - опыт работы по наладке контрольно-измерительных приборов и автоматики, электроприводной арматуры не менее 3-х лет. - "
Руководитель проектов по повышению операционной эффективности (по направлению строительство),Тюмень,,,Кемеровское Акционерное Общество Азот,2020-09-24T13:57:51+0300,Полный день,Управление проектами по повышению операционной эффективности по схеме &quot;Success fee&quot; в строительной отрасли. Управление бюджетом и командой проекта. ,"Подтвержденный опыт успешной реализации проектов по повышению операционной эффективности в строительной отрасли от 2 лет. Высшее техническое образование, предпочтительно – в..."
Медицинская сестра - администратор,Тюмень,33000,,KDL Клинико диагностические лаборатории,2020-10-07T09:01:21+0300,Сменный график,"Информирование пациентов об оказываемых услугах, их стоимости, сроках выполнения правилах подготовки к сдачи биоматериала и его сбора. Оформление заявки на...","Профильное медицинское образование. Действующий сертификат «Сестринское дело», «Сестринское дело в педиатрии». Ответственность, доброжелательность, умение общаться с детьми, неконфликтность, желание помочь..."
Геодезист (ЯНАО),Тюмень,100000,,Премиум,2020-09-17T14:33:45+0300,Вахтовый метод,"Выполнение комплекса геодезических работ в процессе строительства. Обеспечение соответствия проекту геометрических параметров, координат и высотных отметок. Оформление исполнительной документации на...",Профильное образование. Опыт работы в аналогичной должности в условиях крайнего севера будет преимуществом. Удостоверения согласно квалификационных требований к профессии. 
Начальник отдела финансово-экономического анализа,Тюмень,,,ANCOR Industry,2020-09-21T07:44:59+0300,Полный день,"Руководство проведением комплексного экономического анализа всех видов деятельности предприятия и разработка мероприятий по эффективному использованию капитальных вложений, материальных, трудовых и...",Высшее профильное образование (экономика/финансы). Аналогичный опыт работы в производственной сфере (химическое производство - как преимущество) - не менее 5 лет. 
"Официант в ресторан ""Грузинка""",Тюмень,,,Ассорти Групп,2020-10-12T09:19:07+0300,Сменный график,Подготовка зала к обслуживанию. Обслуживание гостей. Поддержание имиджа Ресторана.,"Умение общаться с людьми. Активность, ответственность, трудолюбие."
Мерчендайзер,Тюмень,,25000,ОЧАКОВО,2020-09-24T15:10:12+0300,Полный день,Размещение продукции в сетевых ТТ в соответствии с правилами мерчендайзинга. Отслеживание сроков. Увеличение представленности.,Личная медицинская книжка. Желателен опыт работы в должности мерчендайзера. Высокая работоспособность. Стремление развиваться в компании.
Менеджер по продажам в салон LORENA-кухни,Тюмень,40000,,LORENA - кухни,2020-10-14T13:15:41+0300,Полный день,"Мы производим мебель для кухни, всегда в соответствии с тенденциями моды из безопасных материалов на высокоточном оборудовании. - Разработка дизайн - проектов...","Опыт работы в сфере продаж. - Аналитический склад ума. - Клиентоориентированность. - Амбициозность, желание зарабатывать!"
Дизайнер-консультант в фирменный салон LORENA-кухни,Тюмень,40000,,LORENA - кухни,2020-10-14T13:15:44+0300,Полный день,"Мы производим мебель для кухни, всегда в соответствии с тенденциями моды из безопасных материалов на высокоточном оборудовании. - разработка дизайн - проектов...",
Руководитель отдела продаж,Тюмень,80000,150000,Перспектива 24,2020-10-13T21:28:35+0300,Полный день,Организация и управление работой отдела. Мотивация и контроль сотрудников. Консультирование и контроль сделок. Работа над увеличением объема продаж. ,"Руководитель группы продаж вторичных квартир и новостроек. С опытом работы в агентстве в должности старший, ведущий менеджер, руководитель отдела продаж. "
Сервисный консультант/мастер приемщик,Тюмень,50000,80000,Автохолдинг,2020-10-11T18:15:42+0300,Полный день,Прием и выдача автомобилей. Контроль качества и своевременности выполнения ремонтных и профилактических работ. Оформление документов. Консультирование клиентов по телефону. ,"Отличное знание технического устройства автомобиля. Опыт работы мастером-приемщиком автомобилей приветствуется. Коммуникабельность. Грамотная речь, четкая дикция. Стрессоустойчивость. Приветствуется опыт продаж..."
"Монтажник НВК (наружный водопровод, канализация)",Тюмень,,,"АНА, Группа компаний",2020-10-14T06:25:38+0300,Полный день,"Монтаж наружного водопровода, канализации.","Опыт работы по НВК является приоритетным. Опыт работы от 1 года. Образование среднее специальное. Ответственность, дисциплинированность, исполнительность."
Специалист технической поддержки,Тюмень,25000,35000,"Восток, Энергосбытовая компания",2020-10-14T10:17:04+0300,Полный день,Владение корпоративными информационными системами. Оперативное исправление ошибок пользователей. Взаимодействие с разработчиками ПО и аналитиками в рамках задач. Координировать действия разработчиков...,Опыт работы с программой 1С. Знание офисных приложений. Коммуникабельность. Дисциплинированность. Ответственность. Стрессоустойчивость.
Слесарь по ремонту автомобилей,Тюмень,40000,80000,Автоград Центр,2020-09-22T13:02:07+0300,Полный день,Техническое обслуживание и ремонт автомобилей марок Ford/Geely/Opel/Chevrolet. Соблюдение стандартов компании и производителя.,Скорость и качество выполнения работы. Желание учиться и развиваться.
Инженер по надзору за строительством,Тюмень,79000,,Реском-Тюмень,2020-09-29T10:19:18+0300,Вахтовый метод,"Обработка наряд-заказа по сменам, внесение данных из наряд-заказа в 1С – план/факт (объемы работ, техника, персонал). ","Средне-техническое, высшее техническое (Автомобильные дороги и аэродромы). От 2-х лет в дорожном строительстве: мастер, производитель работ, либо опыт..."
Врач-терапевт,Тюмень,,,ЦВМиР Сибирь,2020-09-24T10:01:20+0300,Полный день,"Ведение отдыхающих в качестве лечащего врача (первичные, повторные, заключительные приёмы, осмотры, лечение, контроль, оформление медицинской документации). Консультирование гостей санатория (терапия). ","Клиентоориентированность (доброжелательность), ответственность, умение работать в команде, желание развиваться. Высшее медицинское образование по специальности «терапия». Первичная специализация по терапии (интернатура). "
Водитель категории B С,Тюмень,,,Качество Бетона,2020-10-13T06:38:31+0300,Полный день,Управление грузовым автомобилем согласно ПДД. Проверка ТС перед выездом на линию и использование ТС согласно заданий.,Наличие водительского удостоверения с кат. «С». Наличие карты тахографа. Ответственность и исполнительность.
Врач-педиатр,Тюмень,,,ЦВМиР Сибирь,2020-09-25T13:51:27+0300,Полный день,"Осуществлять консультативный прием. Оценивать физическое и нервно-психическое развитие ребенка, школьную зрелость. Выполнять перечень работ и услуг для диагностики заболевания...","Клиентоориентированность, ответственность, умение работать в команде, нацеленность на развитие. Высшее медицинское образование, сертификат специалиста по педиатрии, первичная специализация по педиатрии. "
Мастер по цементированию скважин,Тюмень,,,"Интегра, Группа компаний",2020-10-12T10:41:48+0300,Вахтовый метод,"Цементирование обсадных колонн 324 мм, 245 мм, 178 мм, 127 мм, 114 мм. Ведение документооборота, связанного с полным циклом цементирования...","Знание техники цементировочных флотов на базе агрегатов ЦА-320. Свободное владение ПК, опыт составления программ цементирования. Понимание процесса цементирования всех..."
"Продавец-кассир (Тюменская обл, г Тюмень, ул Спорта, д 1Г)",Тюмень,19000,23000,Пятёрочка,2020-09-29T14:01:30+0300,Полный день,Обслуживание покупателей на кассе (наличный и безналичный расчет). Выкладка товара в зале. Отслеживание сроков годности товара. Проверка наличия ценников. ,"Ответственность, дисциплинированность, внимательность."
Специалист службы поддержки пользователей,Тюмень,,,Яндекс,2020-10-14T16:42:52+0300,Удаленная работа,,"Отличное владение русским языком. Способность самостоятельно решать круг поставленных задач. Аккуратность, усидчивость, ответственность и обязательность. Готовность к интенсивному обучению. "
Монтажник слаботочных систем,Тюмень,43000,,Тюменский государственный университет ФГАОУ ВО,2020-09-28T21:30:16+0300,Полный день,"Монтаж кабельных слаботочных линий. Монтаж приборов и оборудования (СОТ, СКУД, устройства СПД). Монтаж кабельных несущих систем (лотки, короба, трубы пластиковые. ","Опыт монтажа слаботочных систем (СКС, СКУД, СОТ). Знание категорий, материалов и типов кабелей для ЛВС. Знание принципов построения слаботочных систем. "
